sam_id,node_index,tree_id,z_index,redshift
12,32093028,58990,0,0.0004902500077150762
12,32093038,58996,0,0.0004902500077150762
12,32093064,59015,0,0.0004902500077150762
12,32093087,59033,0,0.0004902500077150762
12,32093128,59066,0,0.0004902500077150762
12,32093151,59083,0,0.0004902500077150762
12,32093176,59102,0,0.0004902500077150762
12,32093273,59169,0,0.0004902500077150762
12,32093300,59187,0,0.0004902500077150762
12,32093343,59211,0,0.0004902500077150762
12,32093377,59240,0,0.0004902500077150762
12,32093403,59262,0,0.0004902500077150762
12,32093418,59275,0,0.0004902500077150762
12,32093456,59299,0,0.0004902500077150762
12,32093477,59316,0,0.0004902500077150762
12,32093480,59319,0,0.0004902500077150762
12,32093484,59323,0,0.0004902500077150762
12,32093487,59324,0,0.0004902500077150762
12,32093489,59326,0,0.0004902500077150762
12,32093515,59338,0,0.0004902500077150762
12,32093572,59385,0,0.0004902500077150762
12,32093667,59446,0,0.0004902500077150762
12,32093672,59451,0,0.0004902500077150762
12,32093751,59502,0,0.0004902500077150762
12,32093768,59516,0,0.0004902500077150762
12,32093815,59552,0,0.0004902500077150762
12,32093846,59567,0,0.0004902500077150762
12,32093892,59594,0,0.0004902500077150762
12,32093937,59626,0,0.0004902500077150762
12,32093971,59642,0,0.0004902500077150762
12,32093999,59664,0,0.0004902500077150762
12,32094006,59669,0,0.0004902500077150762
12,32094009,59671,0,0.0004902500077150762
12,32094014,59674,0,0.0004902500077150762
12,32094031,59685,0,0.0004902500077150762
12,32094055,59700,0,0.0004902500077150762
12,32094098,59727,0,0.0004902500077150762
12,32094177,59786,0,0.0004902500077150762
12,32094210,59812,0,0.0004902500077150762
12,32094248,59839,0,0.0004902500077150762
12,32094254,59843,0,0.0004902500077150762
12,32094263,59849,0,0.0004902500077150762
12,32094273,59856,0,0.0004902500077150762
12,32094293,59870,0,0.0004902500077150762
12,32094301,59876,0,0.0004902500077150762
12,32094306,59881,0,0.0004902500077150762
12,32094330,59896,0,0.0004902500077150762
12,32094362,59918,0,0.0004902500077150762
12,32094403,59941,0,0.0004902500077150762
12,32094420,59955,0,0.0004902500077150762
12,32094444,59974,0,0.0004902500077150762
12,32094454,59982,0,0.0004902500077150762
